TamanhoDaEntrada,ShellSort,QuickSort,Algoritmo1,Algoritmo2
10,0.00000085530724560704,0.00000128296086841055,0.00000085530724560704,0.00000085530724560704
100,0.00001069134057008794,0.00001069134057008794,0.00000812541883326683,0.00000000000000000000
1000,0.00017576563897224570,0.00013684915929712562,0.00008082653470986482,0.00000470418985083869
10000,0.00234183123847206190,0.00143050136827776620,0.00134668125820827680,0.00005345670285043969
100000,0.03516809567124726300,0.01886936079895960500,0.01438926144646995500,0.00037505222719868490
10,0.00000042765362280352,0.00000085530724560704,0.00000085530724560704,0.00000085530724560704
100,0.00001154664781569497,0.00001026368694728442,0.00000855307245607035,0.00000042765362280352
1000,0.00017833156070906682,0.00013428323756030451,0.00008424776369229295,0.00000470418985083869
10000,0.00263905050632050680,0.00169564661441594700,0.00139072958135703900,0.00006414804342052763
100000,0.03433887529663124500,0.01809145885908000600,0.01438327429575070500,0.00040669859528614518
10,0.00000042765362280352,0.00000085530724560704,0.00000085530724560704,0.00000085530724560704
100,0.00001026368694728442,0.00001026368694728442,0.00000769776521046332,0.00000042765362280352
1000,0.00014925111435842763,0.00011632178540255677,0.00006756927240295577,0.00000384888260523166
10000,0.00219258012411363430,0.00143520555812860490,0.00134368768284865210,0.00005302904922763617
100000,0.03464250936882173900,0.01722118373667484700,0.01437985306676827600,0.00037676284168989893
10,0.00000085530724560704,0.00000085530724560704,0.00000128296086841055,0.00000085530724560704
100,0.00001069134057008794,0.00001026368694728442,0.00000855307245607035,0.00000000000000000000
1000,0.00015652122594608743,0.00012059832163059195,0.00007483938399061557,0.00000384888260523166
10000,0.00233199520514758110,0.00158018013625899740,0.00133641757126099240,0.00005217374198202914
100000,0.03630052246443098200,0.01757442562911055300,0.01350701202262629700,0.00037547988082148841
10,0.00000085530724560704,0.00000085530724560704,0.00000085530724560704,0.00000085530724560704
100,0.00001069134057008794,0.00000983603332448090,0.00000855307245607035,0.00000000000000000000
1000,0.00015823184043730148,0.00011974301438498491,0.00007398407674500853,0.00000427653622803518
10000,0.00234439716020888330,0.00149678767981231130,0.00121752986412161450,0.00005687793183286783
100000,0.03406902586064222700,0.01710913848750032800,0.01386752402664966300,0.00043150250540874920
10,0.00000042765362280352,0.00000085530724560704,0.00000085530724560704,0.00000000000000000000
100,0.00001069134057008794,0.00001026368694728442,0.00000684245796485628,0.00000042765362280352
1000,0.00015951480130571203,0.00012145362887619898,0.00012829608684105525,0.00000171061449121407
10000,0.00257447480927717540,0.00150234717690875720,0.00121239802064797220,0.00013556619842871505
100000,0.03292932895587084900,0.01706466251072875900,0.01409888463658636600,0.00018645697954233366
10,0.00000085530724560704,0.00000085530724560704,0.00000085530724560704,0.00000000000000000000
100,0.00000983603332448090,0.00000940837970167739,0.00000641480434205276,0.00000042765362280352
1000,0.00015224468971805223,0.00012102597525339546,0.00008809664629752462,0.00000171061449121407
10000,0.00231275079212142280,0.00141638879872525000,0.00130220528143671080,0.00013300027669189396
100000,0.03647586044978042000,0.01735119043800711600,0.01411214189889327600,0.00022537345921745373
10,0.00000042765362280352,0.00000128296086841055,0.00000085530724560704,0.00000000000000000000
