,ShellSort,QuickSort,Algoritmo1,Algoritmo2
count,150.0,150.0,150.0,150.0
mean,0.007464397479523588,0.0038701141820917757,0.0030933013334382507,8.67310057287054e-05
std,0.01369379342169893,0.006969756780776097,0.005543725080208245,0.00012504022182162962
min,4.2765362280352e-07,4.2765362280352e-07,4.2765362280352e-07,0.0
25%,9.836033324480901e-06,9.836033324480901e-06,6.84245796485628e-06,4.2765362280352e-07
50%,0.0001674263933275771,0.00012594399191563592,8.424776369229294e-05,4.06270941663342e-06
75%,0.0027066197787234624,0.0016625034586486744,0.0013360968310438897,0.00015160320928384697
max,0.041555530181440606,0.020256241497711408,0.01605668292178087,0.0004315025054087492
