TamanhoDaEntrada,ShellSort,QuickSort,Algoritmo1,Algoritmo2
10,6.699906757255145e-07,8.838174871272735e-07,8.125418833266875e-07,1.9957169064164265e-07
100,1.0135390860443363e-05,1.0064115256642777e-05,7.840316418064489e-06,5.131843473642239e-07
1000,0.00016571577883636309,0.00012742652447468805,8.689921615367476e-05,6.685651636494991e-06
10000,0.0025179675105840705,0.0015276357611372052,0.0012902880004812525,0.00013100455978547754
100000,0.034627498726661335,0.017684560692103213,0.014080666592254935,0.00029525206118354854
